[0h 0:5] DESTROY /orders/1117936306861899818 : 200
[13h 27:15] POST /auth : 200
[13h 27:18] GET /orders : 200
[13h 27:18] GET /banques : 200
[13h 27:18] GET /tickets : 200
[13h 28:45] POST /auth : 200
[13h 28:48] GET /orders : 200
[13h 28:48] GET /banques : 200
[13h 28:48] GET /tickets : 200
[13h 29:12] POST /auth : 200
[13h 29:15] GET /orders : 200
[13h 29:15] GET /banques : 200
[13h 29:15] GET /tickets : 200
[13h 30:39] POST /auth : 200
[13h 30:42] GET /orders : 200
[13h 30:42] GET /banques : 200
[13h 30:42] GET /tickets : 200
[13h 34:44] POST /auth : 200
[13h 35:26] POST /auth : 200
[13h 35:29] GET /orders : 200
[13h 35:29] GET /banques : 200
[13h 35:29] GET /tickets : 200
[13h 35:37] PUT /banques/670642326661496866/add : 200
[13h 47:13] POST /auth : 200
[13h 47:16] GET /orders : 200
[13h 47:16] GET /banques : 200
[13h 47:16] GET /tickets : 200
[13h 47:58] POST /auth : 200
[13h 48:0] POST /banques : 200
[13h 48:1] GET /orders : 200
[13h 48:1] GET /banques : 200
[13h 48:1] GET /tickets : 200
[13h 48:46] POST /auth : 200
[13h 48:49] GET /orders : 200
[13h 48:49] GET /banques : 200
[13h 48:49] GET /tickets : 200
[13h 49:19] POST /auth : 200
[13h 50:9] POST /auth : 200
[13h 50:11] GET /orders : 200
[13h 50:11] GET /banques : 200
[13h 50:11] GET /tickets : 200
[13h 50:30] POST /auth : 200
[13h 50:33] GET /orders : 200
[13h 50:33] GET /banques : 200
[13h 50:33] GET /tickets : 200
[13h 51:6] POST /auth : 200
[13h 51:28] POST /auth : 200
[13h 51:31] GET /orders : 200
[13h 51:31] GET /banques : 200
[13h 51:31] GET /tickets : 200
[13h 51:33] PUT /banques/670642326661496866/add : 200
[13h 51:57] POST /auth : 200
[13h 52:0] GET /banques : 200
[13h 52:0] GET /orders : 200
[13h 52:0] POST /banques : 200
[13h 52:0] GET /tickets : 200
[13h 52:4] PUT /banques/670642326661496866/add : 200
[13h 52:13] PUT /banques/849594300126855189/remove : 200
[15h 1:21] POST /auth : 200
[15h 1:24] GET /orders : 200
[15h 1:24] GET /banques : 200
[15h 1:24] GET /tickets : 200
[15h 7:18] POST /auth : 200
[15h 7:21] GET /orders : 200
[15h 7:21] GET /banques : 200
[15h 7:21] GET /tickets : 200
[15h 7:37] POST /auth : 200
[15h 7:40] GET /orders : 200
[15h 7:40] GET /banques : 200
[15h 7:40] GET /tickets : 200
[15h 8:7] PUT /banques/849594300126855189/add : 200
[15h 8:14] PUT /banques/849594300126855189/add : 200
[15h 8:23] PUT /banques/849594300126855189/remove : 200
[15h 8:51] POST /auth : 200
[15h 8:54] GET /orders : 200
[15h 8:54] GET /banques : 200
[15h 8:54] GET /tickets : 200
[15h 9:7] PUT /banques/849594300126855189/remove : 200
[15h 9:8] PUT /banques/849594300126855189/remove : 200
[15h 22:58] POST /auth : 200
[15h 23:1] GET /orders : 200
[15h 23:1] GET /banques : 200
[15h 23:1] GET /tickets : 200
[15h 23:10] POST /orders : 200
[15h 23:16] GET /orders/1118168689343217774/offers/as-offer/670642326661496866 : 200
[15h 23:20] POST /orders/offers/1118168689343217774 : 200
[15h 23:24] GET /orders/1118168689343217774/offers : 200
[15h 23:54] POST /auth : 200
[15h 23:57] GET /orders : 200
[15h 23:57] GET /banques : 200
[15h 23:57] GET /tickets : 200
[15h 23:58] GET /orders/1118168689343217774/offers : 200
[15h 24:3] GET /orders/offers/1118168689343217774 : 404
[15h 24:9] GET /orders/offers/21c171006a3a : 200
[15h 24:10] POST /orders/offers/21c171006a3a/accept : 200
[15h 25:46] POST /auth : 200
[15h 26:9] POST /auth : 200
[15h 26:12] GET /orders : 200
[15h 26:12] GET /banques : 200
[15h 26:12] GET /tickets : 200
[15h 26:25] POST /auth : 200
[15h 26:28] GET /banques : 200
[15h 26:28] GET /orders : 200
[15h 26:28] GET /tickets : 200
[15h 26:38] POST /orders : 200
[15h 26:44] GET /orders/1118169556213571584/offers/as-offer/670642326661496866 : 200
[15h 26:49] POST /orders/offers/1118169556213571584 : 200
[15h 27:12] POST /auth : 200
[15h 27:15] GET /orders : 200
[15h 27:15] GET /banques : 200
[15h 27:16] GET /tickets : 200
[15h 27:41] POST /auth : 200
[15h 27:44] GET /orders : 200
[15h 27:44] GET /banques : 200
[15h 27:44] GET /tickets : 200
[15h 28:5] POST /auth : 200
[15h 28:8] GET /orders : 200
[15h 28:8] GET /banques : 200
[15h 28:8] GET /tickets : 200
[15h 28:31] POST /auth : 200
[15h 28:34] GET /orders : 200
[15h 28:34] GET /banques : 200
[15h 28:34] GET /tickets : 200
[15h 28:50] POST /auth : 200
[15h 28:53] GET /orders : 200
[15h 28:53] GET /banques : 200
[15h 28:53] GET /tickets : 200
[15h 32:16] POST /auth : 200
[15h 35:22] POST /auth : 200
[15h 35:25] GET /orders : 200
[15h 35:25] GET /banques : 200
[15h 35:25] GET /tickets : 200
[15h 37:4] POST /auth : 200
[15h 37:7] GET /orders : 200
[15h 37:7] GET /banques : 200
[15h 37:7] GET /tickets : 200
[15h 37:43] POST /auth : 200
[15h 37:46] GET /orders : 200
[15h 37:46] GET /banques : 200
[15h 37:46] GET /tickets : 200
[15h 38:19] POST /auth : 200
[15h 38:22] GET /orders : 200
[15h 38:22] GET /banques : 200
[15h 38:22] GET /tickets : 200
[15h 39:36] POST /auth : 200
[15h 39:39] GET /orders : 200
[15h 39:39] GET /banques : 200
[15h 39:40] GET /tickets : 200
[15h 40:1] POST /auth : 200
[15h 40:4] GET /orders : 200
[15h 40:4] GET /banques : 200
[15h 40:4] GET /tickets : 200
[15h 40:26] POST /auth : 200
[15h 40:29] GET /orders : 200
[15h 40:29] GET /banques : 200
[15h 40:29] GET /tickets : 200
[15h 41:20] POST /auth : 200
[15h 41:23] GET /orders : 200
[15h 41:24] GET /banques : 200
[15h 41:24] GET /tickets : 200
[15h 42:36] POST /auth : 200
[15h 42:39] GET /orders : 200
[15h 42:39] GET /banques : 200
[15h 42:39] GET /tickets : 200
[15h 43:29] POST /auth : 200
[15h 43:32] GET /orders : 200
[15h 43:32] GET /banques : 200
[15h 43:32] GET /tickets : 200
[15h 44:20] POST /auth : 200
[15h 44:23] GET /orders : 200
[15h 44:23] GET /banques : 200
[15h 44:23] GET /tickets : 200
[20h 7:42] POST /auth : 200
[20h 7:45] GET /orders : 200
[20h 7:45] GET /banques : 200
[20h 7:46] GET /tickets : 200
[20h 19:47] POST /auth : 200
[20h 19:50] GET /orders : 200
[20h 19:50] GET /banques : 200
[20h 19:50] GET /tickets : 200
[20h 20:8] POST /auth : 200
[20h 20:11] GET /orders : 200
[20h 20:11] GET /banques : 200
[20h 20:11] GET /tickets : 200
[23h 49:10] POST /auth : 200
[23h 49:13] GET /orders : 200
[23h 49:13] GET /banques : 200
[23h 49:14] GET /tickets : 200
