[0h 21:20] POST /auth : 200
[0h 24:38] POST /auth : 200
[0h 24:41] GET /orders : 200
[0h 24:41] GET /banques : 200
[0h 24:41] GET /tickets : 200
[22h 9:51] POST /auth : 200
[22h 9:54] GET /users : 500
[22h 10:13] POST /auth : 200
[22h 10:16] GET /orders : 200
[22h 10:16] GET /banques : 200
[22h 10:16] GET /users : 500
[22h 10:47] POST /auth : 200
[22h 10:50] GET /orders : 200
[22h 10:50] GET /users : 500
[22h 11:23] POST /auth : 200
[22h 11:26] GET /orders : 200
[22h 11:26] GET /banques : 200
[22h 11:26] GET /users : 200
[22h 11:26] GET /tickets : 200
[22h 32:47] POST /users : 422
[22h 32:47] PUT /users/849594300126855189 : 404
[22h 33:26] POST /auth : 200
[22h 33:29] GET /banques : 200
[22h 33:29] GET /orders : 200
[22h 33:29] GET /users : 200
[22h 33:29] GET /tickets : 200
[22h 34:9] POST /users : 422
[22h 34:9] PUT /users/849594300126855189 : 404
[22h 34:26] POST /auth : 200
[22h 34:29] GET /orders : 200
[22h 34:29] GET /users : 200
[22h 34:29] GET /banques : 200
[22h 34:29] GET /tickets : 200
[22h 34:40] POST /users : 500
[22h 34:40] PUT /users/849594300126855189 : 404
[22h 35:36] POST /auth : 200
[22h 35:39] GET /orders : 200
[22h 35:39] GET /banques : 200
[22h 35:39] GET /users : 200
[22h 35:40] GET /tickets : 200
[22h 36:12] POST /users : 200
[22h 36:12] PUT /users/849594300126855189 : 200
[22h 37:33] POST /auth : 200
[22h 37:35] POST /users : 200
[22h 37:35] PUT /users/849594300126855189 : 200
[22h 37:36] GET /banques : 200
[22h 37:36] GET /orders : 200
[22h 37:36] GET /users : 200
[22h 37:36] GET /tickets : 200
[22h 37:47] PUT /users/849594300126855189 : 200
[22h 43:2] POST /auth : 200
[22h 43:5] GET /users : 200
[22h 43:5] GET /banques : 200
[22h 43:5] GET /orders : 200
[22h 43:5] GET /tickets : 200
[22h 43:8] POST /users : 200
[22h 43:28] POST /auth : 200
[22h 43:31] GET /orders : 200
[22h 43:31] GET /users : 200
[22h 43:31] GET /banques : 200
[22h 43:31] GET /tickets : 200
[22h 43:31] POST /users : 200
[22h 44:17] POST /auth : 200
[22h 44:20] GET /orders : 200
[22h 44:20] GET /banques : 200
[22h 44:20] GET /users : 200
[22h 44:20] GET /tickets : 200
[22h 44:39] POST /auth : 200
[22h 44:42] GET /orders : 200
[22h 44:42] GET /users : 200
[22h 44:42] GET /banques : 200
[22h 44:42] GET /tickets : 200
[22h 45:12] POST /auth : 200
[22h 45:15] GET /orders : 200
[22h 45:15] GET /banques : 200
[22h 45:15] GET /users : 200
[22h 45:15] GET /tickets : 200
[22h 45:18] POST /users : 200
[22h 45:18] PUT /users/849594300126855189 : 200
[22h 50:28] POST /auth : 200
[22h 50:31] GET /orders : 200
[22h 50:31] GET /users : 200
[22h 50:31] GET /banques : 200
[22h 50:31] GET /tickets : 200
[22h 50:40] PUT /users/849594300126855189 : 200
[22h 50:47] PUT /users/849594300126855189 : 200
