[18h 58:9] POST /auth (200)
[18h 58:12] GET /tickets : 200
[18h 58:12] GET /invites : 200
[18h 58:12] GET /giveaways/ : 200
[18h 59:46] DESTROY /staffconnexion/670642326661496866 : 200
[19h 0:21] DESTROY /staffconnexion/670642326661496866 : 200
[19h 7:27] DESTROY /staffconnexion/670642326661496866 : 200
[19h 9:43] DESTROY /staffconnexion/670642326661496866 : 200
[19h 9:53] DESTROY /staffconnexion/670642326661496866 : 200
[19h 10:36] DESTROY /staffconnexion/670642326661496866 : 200
[19h 10:49] DESTROY /staffconnexion/670642326661496866 : 200
[19h 13:30] DESTROY /staffconnexion/670642326661496866 : 200
[21h 22:34] DESTROY /staffconnexion/670642326661496866 : 200
[21h 31:51] DESTROY /staffconnexion/670642326661496866 : 200
